Meter #,Service Delivery Point,Meter Type,Meter Size,Longitude,Latitude
3000017504,2141642,Water Commercial Outside,1,30.15090431,-97.39766379
3000021192,2175668,Water Residential Inside,0.75,30.15702903,-97.45979768
3000021133,2150824,Water Residential Inside,0.75,30.29093087,-97.41860114
3000021136,2177630,Water Residential Inside,0.75,30.29402983,-97.4200033
3000021172,2177625,Water Residential Inside,0.75,30.29377751,-97.42046078
3000023443,2179650,Water Residential Inside,0.75,30.15716692,-97.47347554
3000023450,2174654,Water Residential Inside,0.75,30.29934894,-97.42742406
3000023879,2180326,Irrigation Commercial Outside,1,30.25035981,-97.42235608
3000024683,2150851,Water Residential Inside,0.75,30.29061602,-97.41825654
3000025046,2181545,Water Residential Outside,0.75,30.14955971,-97.38281039
3000025172,2181716,Water Residential Inside,0.75,30.21429161,-97.44622846
3000025852,2181721,Water Residential Inside,0.75,30.21428406,-97.44638294
3000019508,2033281,Water Residential Inside,0.75,30.20351321,-97.36237686
3000021152,2033284,Water Residential Inside,0.75,30.20275195,-97.36233646
3000026694,2033737,Water Residential Inside,0.75,30.19174279,-97.35991239
3000015700,2048989,Water Residential Inside,0.75,30.2332692,-97.36895514
3000020439,2049067,Water Residential Inside,0.75,30.23276888,-97.36991764
3000018268,2049151,Water Residential Inside,0.75,30.23236345,-97.37370822
3000026030,2107663,Water Residential Outside,0.75,30.24252401,-97.42998478
3000018900,2057338,Water Residential Inside,0.75,30.24272564,-97.35849834
3000019623,2057350,Water Residential Inside,0.75,30.24221919,-97.36208654
3000025465,2066722,Water Residential Outside,0.75,30.32099849,-97.38156864
3000025110,2066726,Water Residential Outside,0.75,30.32086262,-97.381634
3000025092,2067044,Water Residential Outside,0.75,30.32217704,-97.38175282
3000024306,2068389,Water Residential Outside,0.75,30.21222349,-97.41885662
3000019774,2071487,Water Residential Outside,0.75,30.23340648,-97.33117217
3000019765,2071488,Water Residential Outside,0.75,30.23340937,-97.33119185
3000005068,2077638,Water Residential Outside,0.75,30.29323837,-97.43790343
3000025913,2077773,Water Commercial Inside,0.75,30.18712778,-97.48731891
3000022013,2077915,Water Residential Outside,0.75,30.30843015,-97.35780914
3000025701,2080533,Water Residential Inside,0.75,30.24663977,-97.36597257
3000025764,2080553,Water Residential Inside,0.75,30.24722204,-97.36565174
3000020016,2087181,Water Commercial Inside,3,30.25048273,-97.36970375
3000006346,2087184,Water Residential Inside,0.75,30.25571076,-97.36796118
3000022180,2087189,Water Residential Inside,4,30.25516135,-97.36811146
3000006402,2087190,Water Residential Inside,0.75,30.25516351,-97.36805205
3000006347,2087191,Water Residential Inside,0.75,30.25517214,-97.36814711
3000004793,2061546,Water Residential Outside,0.75,30.16022705,-97.31920219
3000023626,2087928,Irrigation Commercial Inside,0.75,30.26296912,-97.3821806
3000023582,2087932,Water Residential Inside,0.75,30.26298637,-97.38145576
3000023537,2087935,Water Residential Inside,0.75,30.26313086,-97.38041008
3000017449,2087937,Water Residential Inside,1,30.26315135,-97.38027937
3000022410,2087944,Water Residential Inside,0.75,30.26310067,-97.37806918
3000024951,2087945,Water Residential Inside,0.75,30.26318693,-97.37799788
3000023629,2087946,Water Residential Inside,0.75,30.26267691,-97.37793372
3000023628,2087947,Water Residential Inside,0.75,30.26238039,-97.37744415
3000022917,2087949,Water Residential Inside,0.75,30.26217272,-97.37701791
3000022899,2087951,Water Residential Inside,0.75,30.26211944,-97.37652443
3000021966,2065584,Water Commercial Outside,0.75,30.21854971,-97.32870836
3000023169,2065591,Water Residential Outside,0.75,30.21781325,-97.33014617
3000020469,2091809,Irrigation Commercial Inside,0.75,30.22018437,-97.40709867
3000021093,2092094,Water Residential Outside,0.75,30.3203181,-97.35698211
3000028530,2144143,Water Residential Outside,0.75,0,0
3000026655,2118119,Water Residential Outside,0.75,30.17147343,-97.40293971
3000014553,2118167,Irrigation Commercial Inside,0.75,30.19314131,-97.4687581
3000022569,2118709,Water Residential Inside,0.75,30.19618952,-97.47229942
3000008015,2118745,Water Commercial Inside,1,30.27790966,-97.42877275
3000025126,2121100,Water Residential Inside,0.75,30.2268276,-97.40894762
3000025131,2121101,Water Residential Inside,0.75,30.22683946,-97.40889296
3000025127,2121105,Water Residential Inside,0.75,30.22685348,-97.40834041
3000025184,2121107,Water Residential Inside,0.75,30.22685564,-97.40784728
3000026240,2121113,Water Residential Inside,0.75,30.22588088,-97.40688953
3000026495,2121114,Water Residential Inside,0.75,30.22554554,-97.40696796
3000026517,2121115,Water Residential Inside,0.75,30.22517138,-97.40692637
3000023079,2122236,Water Residential Outside,0.75,30.21332764,-97.41716333
3000015748,2122617,Water Residential Inside,0.75,30.22474007,-97.41486996
3000024291,2123124,Water Residential Inside,0.75,30.21468734,-97.41549975
3000024406,2123140,Water Residential Inside,0.75,30.21480163,-97.41374111
3000012576,2130537,Water Residential Outside,0.75,30.15756588,-97.31752672
3000012532,2130543,Water Residential Outside,0.75,30.15954235,-97.31753861
3000014996,2130557,Water Residential Outside,0.75,30.15754216,-97.31654046
3000005903,2138457,Water Residential Inside,0.75,30.20152703,-97.47857323
3000025666,2138563,Water Residential Inside,0.75,30.19936833,-97.47796721
3000015027,2143313,Water Commercial Inside,0.75,30.1790248,-97.36030965
3000014661,2143318,Water Residential Inside,0.75,30.18012117,-97.3503468
3000023710,2143571,Water Residential Inside,1.5,30.30940598,-97.34174371
3000024240,2143583,Water Residential Inside,1.5,30.30855613,-97.34360138
3000022349,2152286,Water Residential Inside,0.75,30.30962919,-97.36449912
3000012113,2152612,Water Residential Outside,0.75,30.15730278,-97.31649293
3000018194,2152777,Water Commercial Inside,0.75,30.200893,-97.49545857
3000017138,2000522,Water Residential Inside,2,30.24788086,-97.38021995
3000019873,2001360,Water Commercial Inside,0.75,30.25068437,-97.38632767
3000020452,2010373,Water Commercial Outside,0.75,30.15294225,-97.39867382
3000019940,2010381,Water Commercial Outside,0.75,30.15773446,-97.39607421
3000021793,2010385,Water Commercial Outside,0.75,30.15746452,-97.39620221
3000017480,2010408,Water Commercial Outside,1,30.15522711,-97.39850746
3000021545,2010409,Water Commercial Outside,0.75,30.15298969,-97.39862153
3000021733,2014623,Water Residential Inside,0.75,30.22247785,-97.39083122
3000021731,2014625,Water Residential Inside,0.75,30.22251883,-97.39073616
3000021278,2014636,Water Residential Inside,0.75,30.22244874,-97.38953601
3000021997,2018847,Water Residential Inside,0.75,30.24545367,-97.37070784
3000021215,2018848,Water Residential Inside,0.75,30.21837503,-97.39854311
3000021189,2018855,Water Residential Inside,0.75,30.21770866,-97.39853122
3000019271,2018857,Water Residential Inside,0.75,30.21768142,-97.39853105
3000021219,2018859,Water Residential Inside,0.75,30.21742399,-97.39853122
3000021188,2018862,Water Residential Inside,0.75,30.21771405,-97.39854311
3000023832,2020818,Water Residential Inside,1,30.17377231,-97.36906208
3000020512,2021263,Water Residential Inside,0.75,30.16989915,-97.35720313
3000018297,2023887,Water Residential Outside,0.75,30.15545031,-97.30659462
3000018431,2023894,Water Residential Outside,0.75,30.15571988,-97.30590542
3000018506,2023901,Water Residential Outside,0.75,30.15222628,-97.30600049
3000006880,2031564,Water Residential Outside,0.75,30.21841061,-97.32445435
3000006879,2031565,Water Residential Outside,0.75,30.21877183,-97.32459694
3000006837,2031578,Water Residential Outside,0.75,30.21754368,-97.3232126
3000015556,2036309,Water Commercial Inside,0.75,30.19999049,-97.34892087
3000015501,2036321,Water Residential Inside,0.75,30.1840698,-97.34966948
3000015502,2036323,Water Residential Inside,0.75,30.18401373,-97.34902781
3000015471,2036324,Water Residential Inside,0.75,30.18406118,-97.34875451
3000015477,2036327,Water Residential Inside,0.75,30.18456365,-97.34874263
3000015470,2036328,Water Residential Inside,0.75,30.18500143,-97.34884957
3000020357,2040041,Water Residential Outside,0.75,30.27237381,-97.32609416
3000020355,2040043,Water Residential Outside,0.75,30.27248919,-97.32651006
3000015175,2044522,Water Residential Inside,0.75,30.32347959,-97.37215872
3000018395,2044619,Water Residential Inside,0.75,30.32481233,-97.36856301
3000024960,2044705,Water Residential Inside,0.75,30.32641141,-97.36571115
3000019103,2170068,Water Residential Outside,0.75,30.15889,-97.40257135
3000019066,2170225,Water Residential Outside,0.75,30.24610818,-97.37522921
3000006443,2034171,Water Residential Outside,0.75,30.21193516,-97.31900588
3000006714,2034247,Water Residential Outside,0.75,30.2149871,-97.3205687
3000014075,2175592,Water Residential Inside,0.75,30.24566933,-97.37065436
3000015085,2175690,Water Residential Inside,0.75,30.16367752,-97.46566384
3000019881,2032669,Water Residential Inside,0.75,30.19416567,-97.38189542
3000018842,2178077,Water Residential Inside,0.75,30.18291174,-97.42214694
3000017221,2176688,Water Commercial Inside,4,30.22168532,-97.49469214
3000020177,2145868,Water Residential Outside,1.5,30.15277188,-97.2779739
3000020319,2177638,Water Residential Outside,0.75,30.27093647,-97.44256858
3000020297,2179297,Water Residential Inside,0.75,30.24734604,-97.3612076
3000020292,2177647,Water Residential Inside,0.75,30.29369125,-97.4206925
3000017609,2110445,Water Residential Outside,0.75,30.25676582,-97.43534389
3000021416,2175427,Water Residential Inside,0.75,30.20564818,-97.45364328
3000022093,2137567,Water Residential Outside,0.75,30.23182647,-97.30409925
3000022873,2179551,Water Residential Inside,0.75,30.20433161,-97.4073482
3000022623,2173621,Water Residential Outside,0.75,30.16278148,-97.34590266
3000022707,2172576,Water Residential Inside,0.75,30.32912866,-97.34202889
3000023406,2172581,Water Residential Inside,0.75,30.32833074,-97.34198136
3000022273,2172600,Water Residential Inside,0.75,30.32789511,-97.34155358
3000022321,2172602,Water Residential Inside,0.75,30.32797383,-97.34183877
3000020062,2159012,Water Commercial Inside,3,30.18596217,-97.40471024
3000022243,2178338,Water Residential Inside,0.75,30.21235288,-97.44673348
3000022250,2178688,Water Residential Inside,0.75,30.21245316,-97.44639482
3000024944,2032975,Water Residential Inside,0.75,30.20557163,-97.37584711
3000024755,2179778,Water Commercial Inside,0.75,30.14851486,-97.47796721
3000024779,2178852,Water Residential Inside,0.75,30.1826756,-97.42375824
3000024815,2176876,Water Residential Outside,0.75,30.16447005,-97.31663552
3000025647,2180950,Irrigation Commercial Outside,0.75,30.16543295,-97.40799581
3000025822,2180981,Water Residential Inside,0.75,30.21311198,-97.44495701
3000025735,2180554,Water Residential Inside,0.75,30.14962764,-97.46983349
3000025729,2180548,Water Residential Inside,0.75,30.14962307,-97.4694709
3000018473,2034121,Water Residential Inside,0.75,30.19991825,-97.3508934
3000012099,2034126,Water Residential Inside,0.75,30.19996138,-97.34974791
3000024719,2114099,Water Residential Inside,0.75,30.19428967,-97.36555668
3000024969,2050465,Water Commercial Inside,0.75,30.35214653,-97.31607703
3000019554,2057358,Water Residential Inside,0.75,30.24284425,-97.3612076
3000019720,2057360,Water Residential Inside,0.75,30.24280759,-97.36050058
3000019546,2057368,Water Residential Inside,0.75,30.24129801,-97.36092242
3000019739,2057381,Water Residential Inside,0.75,30.2435915,-97.35987674
3000017892,2057387,Water Residential Inside,0.75,30.23825082,-97.3698701
3000019216,2068483,Water Residential Inside,0.75,30.31938431,-97.37155745
3000014065,2068492,Water Residential Outside,0.75,30.15370782,-97.33884432
3000014666,2068593,Water Residential Inside,0.75,30.24502021,-97.37011964
3000014592,2071497,Water Residential Outside,0.75,30.2328325,-97.3311562
3000019749,2071501,Water Residential Outside,0.75,30.23242383,-97.3311265
3000019743,2071502,Water Residential Outside,0.75,30.23246912,-97.3311265
3000015909,2071505,Water Residential Outside,1,30.23216397,-97.33119185
3000019830,2071514,Water Residential Outside,0.75,30.23215427,-97.3311562
3000015194,2071518,Water Residential Outside,0.75,30.23244756,-97.33032441
3000019761,2071524,Water Residential Outside,0.75,30.24561218,-97.37071378
3000019769,2071526,Water Residential Outside,0.75,30.24546877,-97.37029075
3000019866,2071528,Water Residential Outside,0.75,30.23296405,-97.33036006
3000020326,2078182,Water Commercial Outside,0.75,30.24570275,-97.37111779
3000015664,2078697,Water Residential Outside,0.75,30.25167099,-97.32099648
3000018575,2078725,Water Residential Outside,0.75,30.25592908,-97.32481083
3000018835,2079095,Water Residential Outside,0.75,30.25479151,-97.32713984
3000025721,2080587,Water Residential Inside,0.75,30.24819373,-97.36665571
3000004990,2087380,Water Commercial Inside,0.75,30.25117822,-97.37069001
3000005237,2087397,Water Residential Inside,0.75,30.2544497,-97.37680961
3000022989,2087952,Water Residential Inside,0.75,30.26206769,-97.37620359
3000020527,2087964,Water Residential Inside,0.75,30.26328937,-97.37773646
3000020520,2087965,Water Residential Inside,0.75,30.26319232,-97.37701162
3000027797,2076299,Water Residential Outside,0.75,0,0
3000028652,2014975,Water Residential Outside,0.75,0,0
3000012290,2118868,Water Residential Outside,0.75,30.15133994,-97.31984861
3000021517,2118922,Water Commercial Outside,0.75,30.15891156,-97.39763408
3000014597,2118932,Water Residential Inside,0.75,30.24502021,-97.37011964
3000026518,2121134,Water Residential Inside,0.75,30.22405752,-97.40697984
3000026242,2121144,Water Residential Inside,0.75,30.2225253,-97.40744326
3000026581,2121152,Water Residential Inside,0.75,30.22156024,-97.40997428
3000020669,2122728,Water Residential Inside,0.75,30.21825534,-97.41560669
3000024311,2122751,Water Residential Inside,0.75,30.21882898,-97.41552946
3000023948,2123151,Water Residential Inside,0.75,30.21525127,-97.41328956
3000023953,2123154,Water Residential Inside,0.75,30.21525451,-97.41370546
3000023988,2123158,Water Residential Inside,0.75,30.21525451,-97.41458478
3000024110,2123160,Water Residential Inside,0.75,30.21532028,-97.41424018
3000024027,2123165,Water Residential Inside,0.75,30.21533107,-97.41333709
3000015446,2130840,Water Residential Inside,0.75,30.17869138,-97.35470775
3000015387,2130876,Water Residential Inside,0.75,30.24483474,-97.36979287
3000020329,2130950,Water Residential Outside,0.75,30.28041664,-97.45509297
3000014366,2131203,Water Residential Outside,0.75,30.17085989,-97.41255283
3000017519,2131326,Water Residential Outside,1,30.15328298,-97.37696409
3000021151,2138721,Water Residential Outside,0.75,30.14831754,-97.29849061
3000021150,2138740,Water Residential Outside,0.75,30.14820971,-97.2951278
3000026529,2138786,Water Residential Outside,0.75,30.14243922,-97.29312304
3000018309,2138788,Water Residential Outside,0.75,30.14287335,-97.29319091
3000018295,2139192,Water Commercial Outside,0.75,30.24571246,-97.37092767
3000018559,2144056,Water Residential Outside,0.75,30.15583206,-97.33199717
3000005756,2144165,Water Residential Outside,0.75,30.29040422,-97.43683403
3000005757,2144166,Water Residential Outside,0.75,30.29035075,-97.43753209
3000026561,2144264,Water Residential Inside,0.75,30.17907201,-97.36098183
3000014974,2144265,Water Residential Inside,0.75,30.17884881,-97.36094618
3000014180,2154411,Water Residential Inside,0.75,30.29578849,-97.42535052
3000014186,2154467,Water Residential Inside,0.75,30.2962942,-97.42726958
3000024741,2001786,Water Residential Outside,0.75,30.18638162,-97.42655068
3000024722,2001802,Water Residential Outside,0.75,30.18454532,-97.42820238
3000024747,2001806,Water Residential Outside,0.75,30.18460894,-97.42640809
3000015365,2002119,Water Commercial Inside,0.75,30.23546133,-97.34439949
3000017380,2010458,Water Commercial Outside,1,30.15173027,-97.39932737
3000021768,2010487,Water Commercial Outside,0.75,30.14321624,-97.3977945
3000021766,2010497,Water Commercial Outside,0.75,30.14261456,-97.40141873
3000021497,2010503,Water Commercial Outside,0.75,30.14248625,-97.40153161
3000021746,2014666,Water Residential Inside,0.75,30.24568442,-97.37391736
3000022055,2014670,Water Residential Inside,0.75,30.22041058,-97.39009985
3000022908,2014674,Water Residential Inside,0.75,30.22243257,-97.39024897
3000021660,2014676,Water Residential Inside,0.75,30.22242394,-97.3905698
3000021723,2014683,Water Residential Inside,0.75,30.24560032,-97.37121285
3000021681,2018908,Water Residential Inside,0.75,30.21619692,-97.39836487
3000027232,2021313,Water Residential Inside,0.75,30.17392219,-97.35347195
3000018588,2021493,Water Residential Inside,0.75,30.17104104,-97.35420868
3000017890,2023913,Water Residential Outside,0.75,30.24574265,-97.37058307
3000017548,2023930,Water Commercial Outside,1,30.15460926,-97.30248795
3000026106,2023950,Water Residential Outside,0.75,30.15090216,-97.29919763
3000023915,2023952,Water Residential Outside,1,30.15039636,-97.29926058
3000006759,2031589,Water Residential Outside,0.75,30.21616996,-97.32186392
3000006762,2031591,Water Residential Outside,0.75,30.21664656,-97.32195185
3000006761,2031593,Water Residential Outside,0.75,30.21696357,-97.32182827
3000027327,2031603,Water Residential Outside,0.75,30.21846294,-97.32307643
3000015472,2036332,Water Residential Inside,0.75,30.18586513,-97.34881392
3000015430,2036339,Water Residential Inside,0.75,30.18591149,-97.34898028
3000015431,2036341,Water Residential Inside,0.75,30.18546401,-97.34898028
3000015432,2036343,Water Residential Inside,0.75,30.18506074,-97.34888522
3000023361,2164661,Water Residential Inside,0.75,30.32319169,-97.34179124
3000005675,2154576,Water Residential Inside,0.75,30.29830172,-97.42939102
3000005223,2158695,Water Residential Inside,0.75,30.29809168,-97.4315533
3000020408,2170288,Water Residential Outside,0.75,30.15811903,-97.40251194
3000020373,2170344,Water Residential Outside,0.75,30.24591733,-97.37092767
3000006506,2034251,Water Residential Outside,0.75,30.21450619,-97.32057464
3000006520,2034255,Water Residential Outside,0.75,30.21354113,-97.32054493
3000006801,2034189,Water Residential Outside,0.75,30.21248011,-97.31998645
3000018582,2150376,Water Residential Inside,0.75,30.16696841,-97.47764637
3000026393,2031235,Water Residential Outside,0.75,30.21979943,-97.31514424
3000018166,2031244,Water Residential Outside,0.75,30.26599583,-97.32349185
3000020412,2029013,Water Residential Inside,0.75,30.18181729,-97.39204326
3000014898,2176004,Water Residential Inside,0.75,30.21055001,-97.44994775
3000014045,2173802,Water Residential Inside,0.75,30.28602905,-97.42539805
3000014890,2176009,Water Residential Inside,0.75,30.21058343,-97.45006658
3000014907,2176011,Water Residential Inside,0.75,30.24560032,-97.37053554
3000018920,2175990,Water Residential Inside,0.75,30.21223211,-97.44763062
3000021815,2175402,Water Residential Inside,0.75,30.20634151,-97.45250254
3000021773,2172615,Water Residential Inside,0.75,30.32962682,-97.34218337
3000017146,2161367,Water Commercial Outside,2,30.23727714,-97.47083757
3000027520,2172614,Water Residential Inside,0.75,30.32933676,-97.34217148
3000017349,2173758,Water Commercial Inside,1,30.1833603,-97.38668415
3000022582,2172571,Water Residential Inside,0.75,30.32890114,-97.34125652
3000022804,2177624,Water Residential Inside,0.75,30.29377712,-97.4204612
3000022458,2179703,Water Residential Inside,0.75,30.15686608,-97.47309529
3000022559,2179687,Water Residential Inside,0.75,30.15684559,-97.46976813
3000023637,2150825,Water Residential Inside,0.75,30.29099988,-97.41871997
3000022251,2164357,Water Residential Inside,0.75,30.20249532,-97.42360376
3000021908,2178639,Water Commercial Outside,1.5,30.16850711,-97.39172243
3000024069,2155894,Water Residential Inside,0.75,30.31874921,-97.33863043
3000024393,2177300,Water Residential Inside,0.75,30.29182584,-97.42118682
3000025640,2179609,Water Residential Inside,0.75,30.15805757,-97.46963742
3000025590,2180583,Water Residential Inside,0.75,30.15423405,-97.46927144
3000025653,2180341,Water Residential Inside,0.75,30.15400327,-97.46844915
3000025529,2179623,Water Residential Inside,0.75,30.15702027,-97.47052862
3000023647,2180185,Water Commercial Inside,2,30.23068566,-97.37292396
3000025453,2178905,Water Residential Inside,0.75,30.17983759,-97.42260086
3000025732,2180580,Water Residential Inside,0.75,30.1496354,-97.47092142
3000026150,2181764,Water Residential Inside,0.75,30.20484811,-97.4050786
3000025202,2180818,Water Residential Inside,0.75,30.14884805,-97.47136517
3000026012,2179947,Water Residential Outside,0.75,30.16092685,-97.33904158
3000025978,2143466,Water Residential Inside,0.75,30.18958565,-97.35920362
3000012203,2106281,Water Residential Outside,0.75,30.15521309,-97.31764555
3000018591,2053312,Water Residential Outside,0.75,30.16473315,-97.34691982
3000018057,2053556,Water Residential Inside,0.75,30.23912422,-97.37161686
3000024679,2053621,Water Residential Outside,0.75,30.22037738,-97.4378155
3000020499,2053695,Water Residential Outside,0.75,30.22029974,-97.43432198
3000014312,2057431,Water Residential Inside,0.75,30.24307069,-97.35260451
3000014920,2060515,Water Residential Inside,0.75,30.24502021,-97.37011964
3000017432,2069291,Water Commercial Inside,1,30.23846323,-97.40539944
3000015751,2069441,Water Residential Inside,0.75,30.24538466,-97.37091578
3000014413,2069507,Water Residential Inside,0.75,30.22406938,-97.41992012
3000019000,2069739,Water Residential Outside,0.75,30.15035763,-97.37555004
3000018663,2071587,Water Residential Outside,0.75,30.24561649,-97.37033353
3000015343,2071589,Water Residential Outside,0.75,30.23583117,-97.33210682
3000015347,2071594,Water Residential Outside,0.75,30.23649968,-97.33187931
3000015346,2071595,Water Residential Outside,0.75,30.23675417,-97.33197611
3000004697,2052752,Water Residential Outside,0.75,30.16048045,-97.32255311
3000021395,2079193,Water Residential Outside,0.75,30.25639166,-97.33457843
3000004791,2053653,Water Residential Outside,0.75,30.15931052,-97.31907148
3000025845,2080594,Water Residential Inside,0.75,30.24814612,-97.36521208
3000025793,2080596,Water Residential Inside,0.75,30.24811916,-97.36487936
3000024229,2080603,Water Commercial Inside,1.5,30.24961688,-97.36345344
3000025742,2080607,Water Residential Inside,0.75,30.24888258,-97.3654735
3000025775,2080611,Water Residential Inside,0.75,30.24866692,-97.36615081
3000025535,2080615,Water Residential Inside,0.75,30.24872191,-97.36588939
3000027349,2080627,Water Residential Inside,0.75,30.24895058,-97.36717245
3000005207,2087410,Water Residential Inside,0.75,30.25196967,-97.37682744
3000024893,2087980,Water Residential Inside,0.75,30.26289041,-97.37515791
3000015693,2062889,Water Residential Inside,0.75,30.23346976,-97.42807167
3000024499,2087984,Water Residential Inside,0.75,30.26433837,-97.37519568
3000022969,2087985,Water Residential Inside,0.75,30.26389428,-97.37606575
3000023470,2087999,Water Residential Inside,0.75,30.26391261,-97.37557381
3000027689,2045800,Water Residential Inside,0.75,0,0
3000019989,2026818,Water Residential Inside,3,0,0
3000013014,2175993,Water Residential Inside,0.75,0,0
3000015769,2119320,Water Residential Outside,0.75,30.17147343,-97.40293971
3000005751,2119324,Water Residential Outside,0.75,30.29313702,-97.43671634
3000020606,2121162,Water Commercial Inside,0.75,30.22117314,-97.40791857
3000024689,2121173,Water Commercial Inside,0.75,30.22097366,-97.40821564
3000024674,2121174,Water Commercial Inside,0.75,30.22101572,-97.40828694
3000024569,2121188,Water Commercial Inside,0.75,30.22097798,-97.41017154
3000024319,2122754,Water Residential Inside,0.75,30.21932714,-97.41591564
3000024316,2122756,Water Residential Inside,0.75,30.21930822,-97.41542969
3000024420,2122763,Water Residential Inside,0.75,30.21938106,-97.41401441
3000024428,2122771,Water Residential Inside,0.75,30.21924196,-97.41238648
3000014291,2123225,Water Residential Inside,0.75,30.2455464,-97.37082072
3000014232,2123248,Water Residential Inside,0.75,30.21418378,-97.41054465
3000026597,2123272,Water Residential Inside,0.75,30.21200352,-97.40940985
3000020605,2131561,Water Residential Inside,0.75,30.25894285,-97.38923894
3000023285,2131667,Water Residential Inside,0.75,30.25349111,-97.38999943
3000018836,2131668,Water Residential Inside,0.75,30.25364423,-97.38999943
3000018913,2131698,Water Residential Inside,0.75,30.25418875,-97.39192443
3000022817,2132190,Water Residential Outside,0.75,30.30944461,-97.35776216
3000023097,2139266,Water Residential Outside,0.75,30.31134472,-97.34825544
3000020233,2139699,Water Commercial Outside,0.75,30.30471011,-97.32647441
3000024627,2140013,Water Commercial Inside,0.75,30.2591046,-97.38243014
3000018245,2140020,Irrigation Commercial Inside,0.75,30.24560032,-97.37084449
3000005863,2140191,Water Residential Inside,0.75,30.20199176,-97.47801474
3000015389,2144278,Water Residential Inside,0.75,30.24545259,-97.37027412
3000012721,2144294,Water Residential Inside,0.75,30.17998962,-97.36032828
3000014608,2144296,Water Residential Inside,0.75,30.17992385,-97.36063723
3000014893,2144305,Water Residential Inside,0.75,30.17934374,-97.35952026
3000014136,2154472,Water Residential Inside,0.75,30.29587044,-97.42623579
3000005549,2154510,Water Residential Inside,0.75,30.29738325,-97.43037691
3000005632,2154562,Water Residential Inside,0.75,30.29780809,-97.42891059
3000023692,2002192,Water Commercial Inside,2,30.1901146,-97.47210903
3000026184,2002200,Water Commercial Inside,0.75,30.18988385,-97.47400432
